epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
15,0.7286873459815979,9.999999747378752e-06,0.8288288116455078,0.8030082583427429,0.6183151602745056
16,0.7796076536178589,9.999999747378752e-06,0.6792367100715637,0.8454633951187134,0.46765509247779846
17,0.7932913303375244,9.999999747378752e-06,0.6270825266838074,0.86705482006073,0.40670204162597656
18,0.809154748916626,9.999999747378752e-06,0.5771965980529785,0.874332845211029,0.367892324924469
19,0.8250181674957275,9.999999747378752e-06,0.5370990633964539,0.8811256885528564,0.3479825258255005
20,0.8297408819198608,9.999999747378752e-06,0.5079729557037354,0.8845220804214478,0.3326561748981476
21,0.8397917151451111,9.999999747378752e-06,0.4818907380104065,0.890344500541687,0.3132743239402771
22,0.8475417494773865,9.999999747378752e-06,0.46362021565437317,0.8893740773200989,0.32632577419281006
23,0.8552918434143066,9.999999747378752e-06,0.4388566017150879,0.8920426964759827,0.311972051858902
24,0.8549285531044006,9.999999747378752e-06,0.43385541439056396,0.895439088344574,0.30380791425704956
25,0.8661298155784607,9.999999747378752e-06,0.4122796356678009,0.903930127620697,0.28499022126197815
26,0.8636474013328552,9.999999747378752e-06,0.406613290309906,0.9158175587654114,0.25731223821640015
27,0.8724267482757568,9.999999747378752e-06,0.37805038690567017,0.9158175587654114,0.254537969827652
28,0.8784209489822388,9.999999747378752e-06,0.3746129870414734,0.9206695556640625,0.24155589938163757
29,0.8787841796875,9.999999747378752e-06,0.3663003742694855,0.9153323769569397,0.25223827362060547
